item,nombre,sku,nombredepa,marca,nombrecat,dieta,estado,image
346231,STRAWBERRY CHEERIOS PROTEIN CE,1600022634,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/346231.JPG
346232,CINNAMON CHEERIOS PROTEIN CERE,1600022636,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/346232.JPG
346244,CEREAL PARA NINOS LUCKY CHARM,1600022665,Despensa,GENERAL MILLS,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/346244.JPG
349344,GM BLUEY CEREAL MS,1600022783,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/349344.JPG
346479,GM LOADED CHOC STRAWBERRY,1600022793,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/346479.JPG
349895,CINNAMON TOAST CRUNCH STRAWBER,1600022844,Despensa,CINNAMON TOAST,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/349895.JPG
353823,GM LC RAINBOW SPRINKLES MS ,1600022845,Despensa,GENERAL MILLS,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/353823.JPG
349898,CHEERIOS COOKIES & CREAM LS,1600022996,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/349898.JPG
349896,CEREAL APPLE CINNAMON NATU VAL,1600023066,Despensa,NATURE VALLEY,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/349896.JPG
349897,CEREAL ALMOND HONEY,1600023068,Despensa,NATURE VALLEY,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/349897.JPG
349899,CHEERIOS STRAWBERRY BANANA,1600023117,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/349899.JPG
349900,CHEERIOS REAL COCOA,1600023118,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/349900.JPG
200133,GM FIBER ONE CHOCOLATE 90 CALO,1600026164,Despensa,GENERAL MILLS,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/200133.JPG
182567,GM FIBER ONE 90CAL CHOC PEANUT,1600026165,Despensa,GENERAL MILLS,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/182567.JPG
6074,GRAN CINNAMON BAR 12 8 9 OZ,1600026450,Despensa,NATURE VALLEY,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/6074.JPG
6073,GRAN OATS HONEY 12 10 OZ.,1600026460,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/6073.JPG
6072,PEANUT BUTTER BARS ,1600026470,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/6072.JPG
142173,GMILL MULTI GRN CHEERIOS 9 OZ,1600027515,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/142173.JPG
142379,GM CHERRIOS OAT CEREAL 8 9 OZ,1600027526,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/142379.JPG
147526,GM TRIX CEREALS ,1600027532,Despensa,GENERAL MILLS,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/147526.JPG
163778,NATURE VALLEY SWEET & ALMOND,1600027706,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/163778.JPG
130841,SWEET & SALTY GRANOLA BAR 6,1600027707,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/130841.JPG
271145,YELLOW CAKE MIX GF,1600027791,Despensa,BETTY CROCKER,Reposteria,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/271145.JPG
177260,BC GLUT FREE BROWNIE,1600027793,Despensa,BETTY CROCKER,Reposteria,"[""Gluten-free"",""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/177260.JPG
187096,SWEET & SALTY DARK CHOC & NUT ,1600027855,Despensa,NATURE VALLEY,Cereales Y Granola,NULL,1,https://riba.app/imgrs/THUMBS%20500X500/187096.JPG
163779,NATURE VALLEY PECAN CRUNCH ,1600028415,Despensa,NATURE VALLEY,Cereales Y Granola,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/163779.JPG
82647,HARINA PARA GALLETAS DE AVENA,1600030140,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/82647.JPG
46654,HARINA PARA PIZZA,1600030200,Despensa,BETTY CROCKER,Harinas,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/46654.JPG
6039,HARINA PARA MUFFIN DE MAIZ,1600030220,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/6039.JPG
6040,HARINA P MUFFIN ARANDANOS AZUL,1600030230,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/6040.JPG
82640,HARINA P MUFFIN DE GUINEO & NU,1600030270,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/82640.JPG
6041,HARINA P BROWNIE DE CHOCOLATE,1600030280,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/6041.JPG
65299,HARINA PARA MUFFIN CHOCOLATE,1600030500,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/65299.JPG
82642,HARINA PARA GALLETAS AZUCARADA,1600030630,Despensa,BETTY CROCKER,Reposteria,"[""Kosher""]",1,https://riba.app/imgrs/THUMBS%20500X500/82642.JPG
